title_theme,title_index,author,theme,cycle,collection,mss,ff,page
Heroica,Heroica,Flavius Philostratus,Classical Romances,Cycle of Troy,Royal,16. C. xxiii.,ff. 2-69 b,1
Iliaca,Iliaca,Joannes Tzetzes,Classical Romances,Cycle of Troy,Royal,16. C. iv. A. B.,,2
Iliaca,Iliaca,Joannes Tzetzes,Classical Romances,Cycle of Troy,Royal,16. D. iii. A. B.,,2
Iliaca,Iliaca,Joannes Tzetzes,Classical Romances,Cycle of Troy,Harley,Harley 5662.,ff. 1-56,2
Dictys Cretensis,Dictys Cretensis,,Classical Romances,Cycle of Troy,Harley,Harley 3514,,9
Dictys Cretensis,Dictys Cretensis,,Classical Romances,Cycle of Troy,Burney,Burney 170,,9
Dictys Cretensis,Dictys Cretensis,,Classical Romances,Cycle of Troy,Additional,"Add. 15,429",,9
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Royal,6. C. viii.,ff. 123-133 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Royal,10. A. x.,ff. 188-192 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Royal,13. A. v.,ff. 88 b-98 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Royal,15. A. xxii.,ff. 73-90,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Royal,15. B. xi.,ff. 57-66 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Cotton,Caligula B. vii.,ff. 214-218 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Cotton,Vitellius A. xiii.,ff. 90,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Cotton,Vitellius C. viii.,ff. 5 b-6 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Cotton,Vespasian B. xxv.,ff. 98 b-117,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Cotton,Cleopatra B. v.,ff. 222-250,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Harley,Harley 641.,ff. 1-8,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Burney,Burney 216.,ff. 89-93 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Burney,Burney 280.,ff. 20 b-38 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Sloane,Sloane 1619,ff. 29-37 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Additional,"Add. 10,094.",ff. 1-14 b,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Additional,"Add. 15,042",,12
Dares Phrygius,Dares Phrygius,,Classical Romances,Cycle of Troy,Additional,"Add. 19,709.",ff. 1-7,12
Latin Poems,,"Simon Chèvre d'Or, etc",Classical Romances,Cycle of Troy,,,,27
Roman de Troie,Roman de Troie,Benoît de Sainte-More,Classical Romances,Cycle of Troy,Harley,Harley 4482,,35
Roman de Troie,Roman de Troie,Benoît de Sainte-More,Classical Romances,Cycle of Troy,Additional,Add. 30863,,35
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Royal,12. D. iii.,ff. 38-143,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Royal,13. C. xii.,ff. 6-32 b,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Royal,15. C. xvi.,ff. 86-145,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Royal,16. F. ix.,,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Harley,Harley 51.,ff. 3-105 b,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Harley,Harley 176,,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Harley,Harley 3637,,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Harley,Harley 3681,,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Harley,Harley 4123.,ff. 50-126,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Harley,Harley 4387,,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Lansdowne,Lansdowne 229.,ff. 164,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Arundel,Arundel 6,ff. 242-342 b,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Arundel,Arundel 174,,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Additional,Add. 9785,,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Additional,"Add. 15,477",,40
Historia Trojana,Historia Trojana,Guido delle Colonne,Classical Romances,Cycle of Troy,Additional,"Add. 22,155",,40
Trojumanna Saga,Trójumanna saga,,Classical Romances,Cycle of Troy,Additional,Add. 4869.,ff. 2-66,62
Rimur af Trojumonnum,Rimur from Trójumanna saga,Jon Jonsson,Classical Romances,Cycle of Troy,Additional,"Add. 11,113.",ff. 171-281,63
Recueil,,Raoul Le Fèvre,Classical Romances,Cycle of Troy,,,,64
Latin History of Troy,History of Troy,,Classical Romances,Cycle of Troy,Burney,Burney 186.,ff. 116-128,66
Filostrato,Filostrato,Boccaccio,Classical Romances,Cycle of Troy,Additional,"Add. 21,246",,67
Troilus and Chryseyde,Troilus and Cryseyde,Chaucer,Classical Romances,Cycle of Troy,Harley,Harley 1239.,ff. 1-62 b,70
Troilus and Chryseyde,Troilus and Cryseyde,Chaucer,Classical Romances,Cycle of Troy,Harley,Harley 2280,,70
Troilus and Chryseyde,Troilus and Cryseyde,Chaucer,Classical Romances,Cycle of Troy,Harley,Harley 2392,,70
Troilus and Chryseyde,Troilus and Cryseyde,Chaucer,Classical Romances,Cycle of Troy,Harley,Harley 3943,,70
Troilus and Chryseyde,Troilus and Cryseyde,Chaucer,Classical Romances,Cycle of Troy,Harley,Harley 4912,,70
Troilus and Chryseyde,Troilus and Cryseyde,Chaucer,Classical Romances,Cycle of Troy,Additional,"Add. 12,044",,70
Troy Book,Troy Book,Lydgate,Classical Romances,Cycle of Troy,Royal,18. D. ii.,ff. 6-146,75
Troy Book,Troy Book,Lydgate,Classical Romances,Cycle of Troy,Royal,18. D. vi.,,75
Troy Book,Troy Book,Lydgate,Classical Romances,Cycle of Troy,Cotton,Augustus A. iv.,,75
Troy Book,Troy Book,Lydgate,Classical Romances,Cycle of Troy,Arundel,Arundel 99,,75
Roman d'Eneas,Roman d'Eneas,,Classical Romances,Cycle of Troy,Additional,"Add. 14,100",,82
Romance of Troy,Romance of Troy,,Classical Romances,Cycle of Troy,Harley,Harley 525.,ff. 1-34 b,84
